entity_id,type,unit,2025-11-23T23:00:00.000Z,2025-11-24T00:00:00.000Z,2025-11-24T01:00:00.000Z,2025-11-24T02:00:00.000Z,2025-11-24T03:00:00.000Z,2025-11-24T04:00:00.000Z,2025-11-24T05:00:00.000Z,2025-11-24T06:00:00.000Z,2025-11-24T07:00:00.000Z,2025-11-24T08:00:00.000Z,2025-11-24T09:00:00.000Z,2025-11-24T10:00:00.000Z,2025-11-24T11:00:00.000Z,2025-11-24T12:00:00.000Z,2025-11-24T13:00:00.000Z,2025-11-24T14:00:00.000Z,2025-11-24T15:00:00.000Z,2025-11-24T16:00:00.000Z,2025-11-24T17:00:00.000Z,2025-11-24T18:00:00.000Z,2025-11-24T19:00:00.000Z,2025-11-24T20:00:00.000Z,2025-11-24T21:00:00.000Z,2025-11-24T22:00:00.000Z
sensor.energie_zum_haus,grid_consumption,kWh,0.1999999999999993,0.18999999999999773,0.19000000000000128,0.1999999999999993,0.19000000000000128,0.19000000000000128,0.21999999999999886,0.7300000000000004,0.2799999999999976,0.1700000000000017,0.129999999999999,0.120000000000001,0.7300000000000004,0.17999999999999972,0,0.10000000000000142,0.25,0.6699999999999982,0.5899999999999999,0.28000000000000114,0.48999999999999844,0.2699999999999996,0.21000000000000085,0.7099999999999973
sensor.energie_zum_haus_cost,grid_consumption_cost,EUR,0.060000000000001386,0.05700000000000216,0.05700000000000216,0.060000000000001386,0.05700000000000216,0.05700000000000305,0.06600000000000161,0.21899999999999942,0.08399999999999963,0.05099999999999838,0.03900000000000148,0.03600000000000314,0.2190000000000012,0.054000000000002046,0,0.030000000000001137,0.07500000000000284,0.20100000000000762,0.1769999999999996,0.08400000000000318,0.14700000000000557,0.08100000000000307,0.06300000000000239,0.21300000000000274
sensor.energie_ins_netz,grid_return,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0,0,0,0,0,0,0,0
sensor.energie_aus_der_batterie,battery_in,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07000000000000028,0,0,0,0,0,0,0,0,0
sensor.energie_zur_batterie,battery_out,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999999999961,0,0,0,0,0,0,0,0
sensor.energie_pv_gesamt,solar_production,kWh,0,0,0,0,0,0,0,0,0,0.040000000000000924,0.07000000000000028,0.07000000000000028,0.08999999999999986,0.10999999999999943,0.25,0.03999999999999915,0.010000000000001563,0,0,0,0,0,0,0
sensor.shelly2pmg4_7c2c677afe10_switch_0_energy,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.shelly_2_pm_kuche_switch_0_energy,device_consumption,kWh,0,0,0,0,0,0,0,0.02954399999999957,0,0,0,0,0,0,0,0,0,0.0342550000000017,0.04331299999999949,0,0,0.003178000000000125,0,0
sensor.shelly_2pm_wohnzimmer_switch_0_energy,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014013999999999971,0.013552999999999926,0,0.011892000000000014,0.001282999999999923,0,0
sensor.klimaanlage_gastezimmer_climatecontrol_cooling_daily_electrical_consumption,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000142,0,0,0,0,0,0,0,0,0,0,0
sensor.klimaanlage_kinderzimmer_climatecontrol_cooling_daily_electrical_consumption,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0.10000000000000142,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.klimaanlage_schlafzimmer_climatecontrol_cooling_daily_electrical_consumption,device_consumption,kWh,0,0,0,0.10000000000000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000142
sensor.meine_waschmaschine_energie,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.shelly2pmg4_7c2c677afe10_switch_1_energy,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.shelly_plug_s_fahrradkeller_switch_0_energy,device_consumption,kWh,0.0000029999999995311555,0.0000010000000010279564,0.000001999999998503199,0.000001999999998503199,0.0000010000000010279564,0.0000020000000020559128,0.000001999999998503199,0.0000010000000010279564,0.000001999999998503199,0.0000020000000020559128,0.0000029999999995311555,0.000001999999998503199,0.0000029999999995311555,0.0000029999999995311555,0.0000020000000020559128,0.000004000000000559112,0.000001999999998503199,0.0000010000000010279564,0.000001999999998503199,0.0000010000000010279564,0.0000010000000010279564,0.000003999999997006398,0.0000020000000020559128,0.0000029999999995311555
sensor.steckdose_3d_drucker_switch_0_energy,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.stromverbrauch_kaffeemaschine,device_consumption,kWh,0,0,0,0,0,0,0,0.3299999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.stromverbrauch_poe_ports_switch,device_consumption,kWh,0.03999999999999915,0.030000000000001137,0.03999999999999915,0.04000000000000625,0.02999999999999403,0.04000000000000625,0.03999999999999915,0.02999999999999403,0.04000000000000625,0.02999999999999403,0.04000000000000625,0.03999999999999915,0.030000000000001137,0.03999999999999915,0.03999999999999915,0.030000000000001137,0.03999999999999915,0.03999999999999915,0.030000000000001137,0.03999999999999915,0.03999999999999915,0.030000000000001137,0.03999999999999915,0.03999999999999915
,calculated_consumed_grid,kWh,0.1999999999999993,0.18999999999999773,0.19000000000000128,0.1999999999999993,0.19000000000000128,0.19000000000000128,0.21999999999999886,0.7300000000000004,0.2799999999999976,0.1700000000000017,0.129999999999999,0.120000000000001,0.7300000000000004,0.17999999999999972,0,0.10000000000000142,0.25,0.6699999999999982,0.5899999999999999,0.28000000000000114,0.48999999999999844,0.2699999999999996,0.21000000000000085,0.7099999999999973
,calculated_grid_to_battery,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,calculated_battery_to_grid,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,calculated_consumed_battery,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05999999999999961,0,0,0,0,0,0,0,0
,calculated_consumed_solar,kWh,0,0,0,0,0,0,0,0,0,0.040000000000000924,0.07000000000000028,0.07000000000000028,0.08999999999999986,0.10999999999999943,0.17999999999999972,0.02999999999999914,0.010000000000001563,0,0,0,0,0,0,0
,calculated_solar_to_battery,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07000000000000028,0,0,0,0,0,0,0,0,0
,calculated_solar_to_grid,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000000000009,0,0,0,0,0,0,0,0
,calculated_total_consumption,kWh,0.1999999999999993,0.18999999999999773,0.19000000000000128,0.1999999999999993,0.19000000000000128,0.19000000000000128,0.21999999999999886,0.7300000000000004,0.2799999999999976,0.21000000000000263,0.1999999999999993,0.19000000000000128,0.8200000000000003,0.28999999999999915,0.17999999999999972,0.19000000000000017,0.26000000000000156,0.6699999999999982,0.5899999999999999,0.28000000000000114,0.48999999999999844,0.2699999999999996,0.21000000000000085,0.7099999999999973
